brand,fuel_type,transmission,seller_type,car_age_years,mileage_km,engine_size_l,horsepower,previous_owners,price_k
Honda,Petrol,Automatic,Dealer,5.1,103049,2.0,142.0,2,18.25
Ford,Petrol,Automatic,Dealer,6.8,91218,1.6,,1,12.42
Ford,Petrol,Automatic,Dealer,8.6,99488,1.6,126.0,1,14.98
Mercedes,Electric,Automatic,Individual,5.1,111124,3.1,218.0,1,36.94
Mercedes,Diesel,Automatic,Dealer,2.6,86096,1.4,179.0,2,29.51
Toyota,Diesel,Automatic,Dealer,8.6,136017,1.7,166.0,1,11.08
BMW,Petrol,Automatic,Dealer,4.3,98165,1.5,121.0,1,18.99
Toyota,Electric,Automatic,Individual,3.1,43468,1.2,150.0,1,28.33
Honda,Diesel,Automatic,Dealer,4.6,94055,1.4,120.0,1,16.91
Nissan,Petrol,Automatic,Individual,2.2,87284,2.1,107.0,1,14.18
Honda,Diesel,Automatic,Individual,3.0,82383,2.3,156.0,3,18.09
Toyota,Petrol,Manual,Individual,4.9,106229,1.8,164.0,4,9.37
Hyundai,Diesel,Automatic,Certified,8.0,96054,2.4,147.0,4,12.94
Toyota,Hybrid,Manual,Dealer,1.8,31675,3.2,128.0,2,29.64
Nissan,Petrol,Automatic,Dealer,7.3,48125,1.6,104.0,2,14.2
Hyundai,Hybrid,Manual,Dealer,10.5,119038,1.7,132.0,1,10.84
Hyundai,Hybrid,Manual,Individual,6.7,45182,1.6,144.0,1,15.19
Ford,Hybrid,Automatic,Dealer,12.8,161683,1.4,152.0,1,7.89
BMW,Electric,Manual,Dealer,5.9,40903,1.6,158.0,1,31.05
Toyota,Electric,Automatic,Individual,7.1,110104,1.0,137.0,1,21.71
Honda,Diesel,Automatic,Dealer,5.0,81104,2.3,86.0,1,15.54
Toyota,Petrol,Automatic,Dealer,9.2,125114,2.8,171.0,4,10.64
Mercedes,Hybrid,Automatic,Certified,7.1,143068,2.2,218.0,3,26.12
Ford,Petrol,Automatic,Dealer,5.2,97691,1.9,100.0,1,11.89
Hyundai,Petrol,Automatic,Individual,10.1,115197,2.5,130.0,1,6.54
Kia,Diesel,Automatic,Individual,5.0,132831,1.1,135.0,2,6.11
Honda,Hybrid,Automatic,Individual,0.0,83754,1.2,125.0,2,19.37
Kia,Electric,Manual,Dealer,5.8,96395,1.7,149.0,2,17.46
Toyota,Electric,Manual,Individual,10.4,108965,1.0,143.0,1,13.68
Ford,Diesel,Automatic,Individual,7.9,106639,1.4,146.0,1,8.92
Mercedes,Petrol,Automatic,Certified,4.2,78643,1.5,147.0,3,29.98
Mercedes,Petrol,Manual,Dealer,2.5,92834,1.4,115.0,1,20.88
Hyundai,Hybrid,Automatic,Dealer,6.6,111977,1.6,138.0,3,13.39
Ford,Petrol,Automatic,Individual,4.7,90894,2.2,175.0,1,12.98
Honda,,Automatic,Certified,0.7,75522,1.9,146.0,3,21.1
Honda,Petrol,Automatic,Dealer,4.3,78297,1.5,161.0,3,16.67
Toyota,Petrol,Manual,Individual,3.6,84827,1.7,110.0,1,14.13
Ford,Petrol,Automatic,Individual,9.2,124263,2.3,132.0,2,8.03
Honda,Hybrid,Manual,Individual,3.6,127000,1.3,77.0,1,9.08
Honda,Electric,Automatic,Individual,8.2,74915,1.9,75.0,1,19.87
Hyundai,Petrol,Manual,Dealer,3.2,80799,1.7,150.0,1,11.17
Toyota,Petrol,Automatic,Dealer,6.6,90061,1.8,167.0,4,14.98
Honda,Electric,Automatic,Individual,8.8,113223,2.1,118.0,1,16.68
Mercedes,Petrol,Manual,Dealer,4.1,75803,2.0,124.0,1,25.11
BMW,Diesel,Manual,Individual,5.5,112362,1.2,84.0,1,15.49
Mercedes,Diesel,Automatic,Dealer,1.4,53298,1.9,155.0,1,36.03
Honda,Electric,Manual,Dealer,3.9,69977,1.5,129.0,1,27.25
BMW,Petrol,Automatic,Dealer,5.5,97866,2.9,179.0,1,24.51
Hyundai,Diesel,Manual,Dealer,2.3,52793,1.3,165.0,1,17.27
Hyundai,Petrol,Manual,Individual,5.3,72689,1.1,168.0,1,11.35
Honda,Petrol,Manual,Individual,3.4,64977,2.0,101.0,1,14.41
Nissan,Petrol,Automatic,Individual,0.6,89954,2.2,145.0,1,14.87
BMW,Hybrid,Manual,Dealer,2.1,49009,2.1,187.0,2,33.93
Hyundai,Hybrid,Automatic,Individual,7.2,72273,1.4,152.0,2,15.77
Toyota,Electric,Manual,Certified,1.9,113486,1.3,75.0,1,28.18
Toyota,Hybrid,Automatic,Dealer,2.9,116108,2.3,216.0,1,26.49
Toyota,Hybrid,Manual,Certified,0.7,54027,2.3,98.0,2,25.15
Honda,Petrol,Manual,Individual,2.9,123272,1.4,126.0,1,8.85
Honda,Petrol,Manual,Certified,6.6,95188,2.8,194.0,1,13.61
Kia,Petrol,Manual,Dealer,8.0,43500,1.6,75.0,1,8.38
Toyota,Diesel,Automatic,Dealer,8.2,119790,2.3,126.0,1,11.08
BMW,Diesel,Manual,Dealer,5.9,108736,2.2,134.0,2,17.64
Nissan,Hybrid,Manual,Dealer,6.7,98618,2.8,230.0,1,19.24
BMW,Hybrid,Manual,Certified,6.3,132698,2.9,190.0,1,30.82
Toyota,Diesel,Manual,Dealer,2.5,99779,1.7,154.0,1,16.82
Nissan,Petrol,Manual,Individual,5.9,157071,1.4,167.0,1,4.5
Toyota,Petrol,Automatic,Certified,5.2,100765,2.2,177.0,1,18.91
Nissan,Petrol,Manual,Individual,4.5,101754,2.6,158.0,4,10.36
Nissan,Petrol,Manual,Dealer,5.5,75225,1.8,196.0,3,13.27
Honda,Diesel,Automatic,Certified,6.8,46323,1.6,98.0,4,12.48
Honda,Diesel,Manual,Individual,7.0,146218,1.3,134.0,1,4.5
Hyundai,Petrol,Automatic,Individual,4.3,93498,1.7,140.0,1,14.26
BMW,Petrol,Manual,Certified,7.0,88047,1.2,75.0,2,15.33
Toyota,Petrol,Automatic,Dealer,2.8,133306,2.4,151.0,4,15.0
Ford,Petrol,Manual,Individual,6.3,95090,1.8,171.0,3,5.99
Toyota,Petrol,Manual,Dealer,6.7,130952,2.3,112.0,1,8.99
Honda,Hybrid,Manual,Dealer,8.7,90907,2.3,109.0,4,9.97
Hyundai,Diesel,Manual,Individual,2.1,150687,2.2,111.0,1,10.52
Nissan,Electric,Manual,Certified,8.5,52856,2.7,194.0,1,22.39
Toyota,Petrol,Automatic,Certified,7.0,107029,1.7,208.0,1,15.39
Toyota,Petrol,Automatic,Dealer,10.0,84679,2.1,112.0,2,10.15
Ford,Diesel,Manual,Individual,1.3,83114,1.5,104.0,1,14.53
Kia,Electric,Automatic,Dealer,2.5,88917,1.3,109.0,1,22.22
Toyota,Petrol,Automatic,Dealer,3.1,80400,2.2,171.0,1,20.56
Ford,Petrol,Automatic,Dealer,4.4,60785,2.4,169.0,2,19.72
Honda,Diesel,Automatic,Dealer,10.2,138217,1.6,75.0,2,4.5
Ford,Electric,Manual,Individual,3.1,80327,1.7,121.0,1,24.1
Toyota,Hybrid,Automatic,Individual,7.8,121604,1.9,162.0,1,14.15
Kia,Petrol,Automatic,Dealer,7.3,146886,2.1,140.0,1,8.34
BMW,Petrol,Automatic,Individual,9.5,96711,1.4,129.0,1,15.29
Toyota,Diesel,Automatic,Individual,3.2,126304,1.8,164.0,1,15.31
Hyundai,Petrol,Manual,Certified,1.5,74053,1.5,167.0,1,16.14
Honda,Electric,Manual,Individual,6.2,47122,1.7,207.0,1,19.44
Mercedes,Petrol,Automatic,Individual,4.1,102432,2.1,159.0,4,26.11
Toyota,Diesel,Manual,Dealer,5.9,108946,2.3,173.0,2,11.95
BMW,Electric,Automatic,Dealer,3.5,105221,2.1,142.0,1,37.94
Hyundai,Petrol,Automatic,Certified,7.8,77044,1.8,138.0,2,12.58
Honda,Petrol,Automatic,Dealer,11.8,125417,1.3,98.0,1,5.66
BMW,Petrol,Automatic,Individual,5.5,73067,1.6,93.0,2,15.0
BMW,Diesel,Automatic,Dealer,0.0,77064,1.3,165.0,2,27.74
Hyundai,Petrol,Automatic,Dealer,6.9,119497,1.9,121.0,1,8.96
Nissan,Diesel,Automatic,Dealer,1.5,53800,1.1,105.0,3,15.19
Nissan,Diesel,Manual,Dealer,2.1,60285,1.0,115.0,1,16.14
Honda,Diesel,Automatic,Dealer,6.5,91570,1.4,173.0,1,14.45
Ford,Diesel,Manual,Individual,3.7,120370,1.4,138.0,1,8.46
Ford,Diesel,Automatic,Individual,5.5,90810,1.7,173.0,2,16.37
Honda,Petrol,Automatic,Dealer,9.5,150018,1.8,163.0,1,8.57
Hyundai,Petrol,Automatic,Certified,2.8,74925,1.0,78.0,1,14.51
Kia,Petrol,Manual,Individual,1.8,75764,1.8,115.0,1,13.25
Hyundai,Diesel,Automatic,Individual,5.2,60101,1.8,163.0,2,15.78
Honda,Hybrid,Manual,Individual,10.3,143679,1.4,122.0,2,8.01
Kia,Petrol,Automatic,Individual,4.4,60134,1.8,140.0,1,15.94
Mercedes,Petrol,Manual,Certified,5.7,82823,2.5,175.0,4,24.78
BMW,Hybrid,Manual,Individual,2.7,122594,2.3,106.0,1,25.85
Hyundai,Hybrid,Automatic,Individual,8.1,105979,2.2,180.0,2,15.6
Mercedes,Petrol,Automatic,Certified,7.9,100427,1.7,161.0,1,24.56
Mercedes,Diesel,Automatic,Individual,2.9,106445,1.7,127.0,1,25.89
BMW,Electric,Manual,Dealer,8.4,170509,2.2,180.0,1,23.52
Toyota,Electric,Manual,Individual,3.9,83648,1.5,135.0,1,24.58
Hyundai,Petrol,Automatic,Individual,0.3,61995,2.1,128.0,2,17.94
Ford,Diesel,Manual,Dealer,9.5,129555,1.8,169.0,1,9.48
Ford,Electric,Manual,Dealer,9.7,73208,2.0,184.0,3,17.25
Kia,Diesel,Automatic,Individual,7.5,121600,1.4,129.0,1,10.44
Kia,Diesel,Manual,Individual,5.0,85985,2.0,186.0,2,13.74
Hyundai,Petrol,Manual,Dealer,7.3,90833,1.4,123.0,2,8.86
Mercedes,Electric,Manual,Individual,4.7,127372,1.6,154.0,2,24.94
Hyundai,Diesel,Automatic,Dealer,7.8,137379,2.3,170.0,4,9.05
Ford,Diesel,Manual,Individual,7.9,105196,2.3,131.0,1,8.39
Hyundai,Petrol,Manual,Individual,2.5,29110,2.0,181.0,1,16.32
Ford,Petrol,Manual,Dealer,5.4,91568,1.8,107.0,1,11.44
Ford,Petrol,Manual,Dealer,1.1,73264,2.0,75.0,1,16.09
BMW,Diesel,Automatic,Dealer,6.0,78369,1.3,139.0,2,24.01
Hyundai,Diesel,Automatic,Dealer,0.9,78093,1.1,171.0,3,15.51
Toyota,Petrol,Manual,Dealer,7.6,109591,1.4,,3,6.79
Ford,Diesel,Manual,Individual,7.5,92299,2.4,163.0,1,12.29
Ford,Electric,Manual,Dealer,0.6,66613,1.9,167.0,2,29.9
Kia,Petrol,Automatic,Certified,5.0,71461,1.6,136.0,1,14.85
BMW,Petrol,Automatic,Individual,5.7,110192,2.3,202.0,1,24.24
Ford,Petrol,Manual,Dealer,9.5,102118,1.7,168.0,1,9.58
Ford,Petrol,Manual,Individual,3.0,88361,1.7,156.0,2,15.04
Nissan,,Automatic,Dealer,6.1,124412,1.8,189.0,3,13.23
Hyundai,Petrol,Automatic,Individual,6.6,71691,1.8,165.0,2,13.9
Ford,Diesel,Manual,Dealer,2.4,69737,2.6,171.0,3,18.23
Honda,Electric,Manual,Dealer,7.6,95025,1.1,171.0,1,18.63
Nissan,Diesel,Manual,Individual,4.1,165434,2.1,169.0,1,9.2
BMW,Diesel,Automatic,Dealer,6.5,128826,1.0,75.0,3,13.4
BMW,Petrol,Automatic,Certified,7.2,128959,2.0,108.0,2,16.71
BMW,Diesel,Manual,Individual,8.6,85050,2.0,124.0,1,18.58
Toyota,Diesel,Automatic,Dealer,7.1,134922,2.1,153.0,1,12.18
Ford,Hybrid,Manual,Individual,8.8,103028,1.0,135.0,3,11.39
Toyota,Diesel,Manual,Dealer,5.7,69675,1.7,150.0,2,15.51
Honda,Hybrid,Automatic,Certified,8.8,96504,2.1,154.0,1,20.68
Mercedes,Petrol,Automatic,Certified,3.2,119958,2.2,101.0,3,24.6
Toyota,Diesel,Manual,Individual,8.5,116132,1.8,100.0,1,7.35
Toyota,Hybrid,Automatic,Individual,10.0,122064,1.4,110.0,1,11.91
Nissan,Petrol,Manual,Certified,8.0,124686,1.6,153.0,3,4.55
Toyota,Diesel,Manual,Dealer,3.3,22462,2.1,191.0,2,19.31
Toyota,Diesel,Automatic,Dealer,7.3,65161,1.7,164.0,1,18.71
Ford,Petrol,Manual,Dealer,3.2,104277,2.3,157.0,1,16.18
Ford,Diesel,Automatic,Dealer,6.5,111517,1.7,173.0,2,12.75
Honda,Electric,Automatic,Individual,0.6,77463,1.2,146.0,1,26.51
Toyota,Diesel,Automatic,Individual,0.0,78135,2.1,138.0,2,22.24
Kia,Hybrid,Automatic,Individual,1.2,26582,1.0,156.0,1,18.8
Hyundai,Petrol,Automatic,Individual,7.9,128237,2.3,156.0,1,11.17
Toyota,Electric,Manual,Individual,4.8,96069,1.9,176.0,1,22.75
Honda,Diesel,Manual,Individual,5.2,102178,2.4,144.0,1,14.74
Kia,Petrol,Automatic,Certified,7.1,103722,1.8,197.0,2,13.91
Nissan,Electric,Manual,Dealer,7.9,101131,1.3,159.0,2,19.2
Ford,Hybrid,Manual,Dealer,1.7,91886,1.4,113.0,1,22.66
Honda,Electric,Automatic,Individual,6.7,108450,1.9,75.0,2,15.44
Toyota,Diesel,Automatic,Individual,2.0,76142,1.2,118.0,2,14.11
Toyota,Diesel,Automatic,Dealer,8.8,96239,2.0,75.0,2,7.92
Kia,Petrol,Manual,Individual,3.8,42184,1.8,178.0,2,14.95
Mercedes,Diesel,Automatic,Certified,4.8,54773,1.2,77.0,2,25.86
Honda,Diesel,Manual,Dealer,4.5,118380,2.4,111.0,2,12.86
Ford,Diesel,Manual,Dealer,11.7,108356,1.8,175.0,4,4.7
Toyota,Diesel,Automatic,Dealer,1.8,62775,2.2,123.0,3,25.02
Toyota,Electric,Manual,Individual,6.2,123433,1.2,,3,19.76
Toyota,Diesel,Manual,Dealer,8.9,153848,1.4,106.0,1,8.01
Ford,Electric,Automatic,Dealer,4.5,79351,1.5,75.0,2,16.4
Mercedes,Electric,Manual,Individual,4.9,104176,1.7,167.0,1,26.92
Toyota,Petrol,Manual,Dealer,8.1,158395,2.4,98.0,3,4.5
BMW,Electric,Manual,Individual,7.1,78359,2.1,192.0,1,27.08
Ford,Petrol,Manual,Certified,8.7,118558,1.8,75.0,1,8.91
Ford,Petrol,Manual,Certified,2.3,89526,2.0,171.0,2,16.4
Toyota,Petrol,Automatic,Dealer,9.7,156867,2.3,117.0,2,6.54
BMW,Diesel,Automatic,Individual,10.8,128293,1.9,146.0,2,15.19
Hyundai,Diesel,Automatic,Certified,5.7,66130,1.3,108.0,1,16.94
Honda,Diesel,Automatic,Individual,5.1,88215,1.3,136.0,3,9.66
Hyundai,Hybrid,Automatic,Individual,0.0,96588,2.4,218.0,2,25.26
Ford,Diesel,Automatic,Individual,6.1,48254,2.9,180.0,1,21.73
Hyundai,Hybrid,Automatic,Dealer,4.1,84678,1.5,75.0,1,17.54
Ford,Diesel,Automatic,Dealer,0.7,33853,1.8,98.0,1,20.5
Toyota,Petrol,Automatic,Dealer,1.9,112941,2.3,160.0,1,17.41
Nissan,Petrol,Manual,Dealer,4.3,99316,1.8,250.0,3,16.87
Hyundai,Petrol,Manual,Individual,6.8,70860,,102.0,1,6.84
Toyota,Petrol,Automatic,Individual,10.9,124580,1.9,146.0,2,7.61
Honda,Petrol,Automatic,Certified,12.3,104817,1.3,117.0,1,7.74
Honda,Petrol,Automatic,Dealer,5.9,86846,1.6,150.0,2,16.79
Ford,Petrol,Automatic,Certified,9.2,137711,2.4,152.0,1,12.11
Ford,Diesel,Automatic,Certified,6.8,84273,1.9,158.0,2,16.52
BMW,Hybrid,Automatic,Individual,2.4,87050,2.3,100.0,1,30.72
Hyundai,Electric,Automatic,Individual,5.8,46412,2.1,133.0,1,22.26
Kia,Petrol,Manual,Individual,4.3,123245,2.0,148.0,1,8.66
Honda,Diesel,Manual,Individual,4.7,119612,1.0,82.0,1,6.22
Toyota,Diesel,Automatic,Individual,5.3,120006,1.8,150.0,2,13.98
Nissan,Petrol,Automatic,Individual,1.9,65811,1.9,153.0,2,16.68
Kia,Petrol,Automatic,Individual,3.5,68761,2.0,159.0,1,17.15
Honda,Diesel,Automatic,Individual,7.3,102323,1.4,117.0,3,9.69
Hyundai,Petrol,Automatic,Individual,0.0,115647,2.1,158.0,1,14.78
Toyota,Diesel,Automatic,Individual,8.4,72290,2.0,160.0,1,14.35
Nissan,Diesel,Automatic,Dealer,7.2,109915,1.7,136.0,1,11.06
Honda,Petrol,Automatic,Individual,3.3,67355,1.9,120.0,1,18.96
Honda,Diesel,Automatic,Individual,7.9,75507,2.0,75.0,2,12.69
Honda,Petrol,Automatic,Certified,6.3,56580,2.6,178.0,2,19.21
Honda,Diesel,Automatic,Dealer,0.4,104217,1.8,186.0,1,22.62
Nissan,Petrol,Manual,Individual,3.6,89818,1.3,159.0,2,11.61
Honda,Electric,Manual,Individual,3.1,77605,3.1,202.0,4,27.81
Ford,Diesel,Automatic,Individual,7.9,78510,1.3,174.0,1,14.98
Ford,Electric,Manual,Dealer,5.5,78827,1.8,75.0,2,18.81
Mercedes,Electric,Automatic,Dealer,5.7,82446,2.8,99.0,2,32.3
Nissan,Hybrid,Manual,Dealer,4.8,111407,2.2,171.0,1,19.38
Nissan,Petrol,Manual,Dealer,3.5,86702,1.6,180.0,1,11.63
Ford,Electric,Automatic,Individual,5.8,121820,1.9,83.0,1,17.14
Hyundai,Diesel,Manual,Individual,4.2,60563,2.3,101.0,2,14.61
Honda,Petrol,Automatic,Individual,1.7,113578,1.5,119.0,2,14.84
Ford,Diesel,Manual,Certified,3.3,68943,1.3,137.0,3,11.89
Honda,Petrol,Automatic,Individual,7.1,112999,1.6,198.0,3,9.62
Toyota,Diesel,Manual,Individual,1.6,89268,1.0,91.0,4,13.7
Toyota,Diesel,Manual,Individual,7.0,93844,1.0,97.0,3,5.93
Kia,Petrol,Automatic,Dealer,8.2,134730,1.5,124.0,1,7.96
Honda,Electric,Manual,Certified,7.7,132144,1.9,196.0,1,17.88
Nissan,Electric,Manual,Dealer,5.6,98040,1.9,140.0,1,19.0
Hyundai,Diesel,Automatic,Dealer,6.8,144093,2.4,164.0,1,9.31
Hyundai,Petrol,Manual,Dealer,0.4,44410,1.6,116.0,1,17.36
BMW,Diesel,Manual,Certified,7.1,113719,1.5,210.0,1,18.49
BMW,Petrol,Manual,Dealer,4.6,105546,1.3,160.0,1,20.6
Kia,Petrol,Manual,Dealer,3.6,39665,1.9,111.0,4,14.29
Ford,Diesel,Automatic,Dealer,3.1,75103,1.9,99.0,1,18.43
Hyundai,Diesel,Automatic,Individual,7.0,109089,2.2,90.0,2,7.56
Ford,Petrol,Manual,Dealer,6.7,138355,2.5,154.0,2,7.8
Nissan,Diesel,Manual,Individual,1.7,76126,2.4,165.0,1,14.5
Ford,Hybrid,Automatic,Dealer,4.4,71421,1.4,165.0,2,23.78
Mercedes,Diesel,Manual,Individual,7.7,86991,1.5,202.0,1,19.37
Hyundai,Petrol,Automatic,Individual,4.9,74992,1.9,146.0,1,12.25
Mercedes,Diesel,Manual,Certified,3.1,61374,1.9,155.0,2,22.52
BMW,Petrol,Manual,Individual,4.2,100046,1.6,162.0,3,14.61
Honda,Hybrid,Automatic,Dealer,3.9,99524,1.9,171.0,1,22.39
BMW,Petrol,Automatic,Individual,5.4,48623,2.4,180.0,1,29.22
Toyota,Petrol,Automatic,Individual,7.1,124179,1.8,209.0,4,11.9
Toyota,Hybrid,Automatic,Individual,5.0,84577,2.3,240.0,3,22.96
Kia,Diesel,Manual,Dealer,4.1,92074,1.5,229.0,1,18.09
Mercedes,Electric,Automatic,Dealer,8.4,74839,2.3,126.0,1,34.54
Kia,Petrol,Manual,Dealer,6.0,68540,1.7,176.0,3,9.84
Ford,Petrol,Automatic,Dealer,11.0,89410,1.9,,3,11.37
Honda,Hybrid,Automatic,Dealer,2.4,103285,2.7,209.0,1,24.06
Honda,Petrol,Manual,Individual,5.0,114089,2.4,164.0,3,10.82
Toyota,Diesel,Automatic,Individual,9.2,133428,2.1,134.0,2,11.58
Toyota,Petrol,Manual,Dealer,10.9,70894,1.9,180.0,1,11.34
Kia,Hybrid,Automatic,Individual,8.8,132744,1.8,105.0,1,13.14
,Hybrid,Manual,Dealer,2.4,97205,2.3,111.0,1,20.34
Toyota,Diesel,Manual,Individual,8.8,69184,1.0,75.0,1,7.27
Nissan,Petrol,Automatic,Individual,3.0,136315,2.5,142.0,2,11.16
Toyota,Petrol,Automatic,Individual,5.1,95599,2.0,161.0,4,11.21
Toyota,Hybrid,Automatic,Individual,4.7,66412,2.0,109.0,1,22.26
Kia,Diesel,Automatic,Individual,5.5,97152,,188.0,1,14.88
Kia,Petrol,Manual,Dealer,1.0,88192,1.7,78.0,1,11.76
Hyundai,Petrol,Automatic,Individual,1.4,114579,1.8,131.0,1,12.07
Ford,Electric,Manual,Individual,5.0,74352,2.1,135.0,3,19.31
Toyota,Hybrid,Manual,Individual,9.0,105996,1.2,170.0,1,16.76
Toyota,Petrol,Manual,Dealer,5.7,80801,1.5,94.0,2,9.58
Toyota,Diesel,Manual,Dealer,5.5,97110,1.5,80.0,1,13.2
Kia,Petrol,Manual,Individual,4.7,115661,2.2,151.0,1,10.49
Ford,Diesel,Manual,Certified,0.0,69711,3.4,192.0,1,25.21
Mercedes,Diesel,Manual,Dealer,4.6,105824,1.6,123.0,1,26.8
Hyundai,Petrol,Automatic,Dealer,7.8,153885,1.9,178.0,3,4.69
Honda,Diesel,Automatic,Individual,6.0,88774,2.3,164.0,1,16.24
Hyundai,Petrol,Automatic,Certified,3.3,86010,2.0,175.0,2,17.61
Toyota,Diesel,Manual,Individual,5.2,97219,2.3,109.0,2,10.6
Honda,Electric,Manual,Dealer,1.7,110771,1.1,156.0,3,23.79
Mercedes,Petrol,Manual,Certified,0.0,97497,2.4,106.0,1,27.27
Honda,Petrol,Automatic,Individual,3.3,78888,2.3,143.0,1,18.92
BMW,Petrol,Manual,Individual,8.1,144537,1.6,136.0,1,13.39
Honda,Petrol,Automatic,Dealer,5.6,113125,2.1,138.0,1,14.09
Hyundai,Petrol,Automatic,Individual,8.0,130592,2.2,232.0,1,8.38
Nissan,Petrol,Automatic,Dealer,7.9,119370,1.6,144.0,1,11.2
Kia,Petrol,Manual,Individual,3.9,88604,1.3,128.0,2,9.13
Toyota,Petrol,Automatic,Individual,13.1,103893,2.1,114.0,1,8.34
BMW,Petrol,Manual,Individual,5.4,78280,1.5,130.0,1,17.05
Hyundai,Hybrid,Manual,Dealer,3.6,95800,1.0,104.0,1,14.56
Ford,Petrol,Automatic,Individual,6.8,52497,1.9,186.0,1,16.0
Toyota,Hybrid,Automatic,Individual,5.5,77032,1.5,148.0,2,15.34
Nissan,Petrol,Manual,Individual,5.7,94996,2.1,168.0,1,9.73
Toyota,Diesel,Manual,Dealer,3.8,83812,1.6,135.0,1,16.2
Hyundai,Diesel,Automatic,Dealer,4.7,83862,1.4,185.0,3,14.17
Nissan,Diesel,Automatic,Individual,3.9,74692,1.1,108.0,2,7.06
Honda,Hybrid,Automatic,Dealer,3.5,134279,1.8,164.0,1,16.45
Toyota,Petrol,Automatic,Certified,3.6,57181,1.0,79.0,1,17.25
Honda,Petrol,Automatic,Dealer,8.4,210464,1.7,124.0,1,4.5
Kia,Petrol,Manual,Certified,5.5,111759,2.0,166.0,2,9.89
Kia,Diesel,Automatic,Dealer,5.6,79969,1.8,97.0,1,16.76
Nissan,Hybrid,Automatic,Certified,7.2,95655,1.7,164.0,2,15.1
Nissan,Petrol,Automatic,Certified,2.8,105353,2.2,160.0,1,18.92
Honda,Diesel,Manual,Dealer,6.9,82883,1.8,176.0,2,13.02
Honda,Electric,Automatic,Certified,9.6,106350,1.5,117.0,2,17.29
Kia,Petrol,Automatic,Individual,5.8,133023,2.1,215.0,1,12.2
Honda,Petrol,Automatic,Dealer,0.6,116761,2.5,162.0,1,21.25
Kia,Petrol,Manual,Certified,3.2,73338,2.0,239.0,3,19.73
Ford,Petrol,Manual,Dealer,5.3,105465,2.2,160.0,1,14.56
Ford,Diesel,Manual,Dealer,4.2,118533,1.5,142.0,2,10.5
Kia,Diesel,Automatic,Dealer,10.0,131261,2.1,157.0,3,7.75
Ford,Petrol,Manual,Dealer,9.9,129758,2.3,169.0,2,5.98
Mercedes,Petrol,Manual,Certified,6.7,82096,2.0,154.0,1,27.05
Kia,Petrol,Automatic,Individual,1.8,107602,2.0,167.0,3,17.0
Honda,Electric,Manual,Dealer,8.2,103113,1.9,198.0,2,16.96
Nissan,Diesel,Automatic,Dealer,7.0,121149,1.8,75.0,1,13.22
BMW,Petrol,Manual,Individual,7.1,98734,2.3,134.0,2,18.2
BMW,Diesel,Automatic,Dealer,3.6,141875,1.6,120.0,3,15.36
Nissan,Diesel,Automatic,Individual,7.4,135396,2.2,203.0,1,12.02
BMW,Hybrid,Automatic,Individual,10.5,88606,1.4,75.0,1,20.39
Honda,Petrol,Automatic,Certified,11.6,110227,1.6,111.0,4,4.5
Hyundai,Petrol,Automatic,Dealer,5.6,96105,1.7,202.0,1,15.54
Kia,Electric,Manual,Individual,1.0,73210,1.6,96.0,1,22.47
Toyota,Diesel,Automatic,Dealer,3.1,132092,1.5,166.0,1,14.91
Toyota,Electric,Automatic,Dealer,0.0,91537,1.3,133.0,2,27.27
BMW,Electric,Manual,Individual,6.9,72131,2.1,119.0,2,25.27
Hyundai,Petrol,Manual,Individual,8.3,101554,1.8,174.0,2,6.63
Honda,Hybrid,Manual,Individual,1.0,72910,2.0,139.0,4,16.71
Toyota,Diesel,Automatic,Dealer,2.3,106559,1.3,75.0,1,16.41
Toyota,Petrol,Automatic,Dealer,4.8,115468,2.1,127.0,1,16.77
Nissan,Hybrid,Automatic,Individual,8.0,76222,2.1,180.0,2,18.84
Honda,Petrol,Automatic,Dealer,4.6,130363,,154.0,1,15.52
Toyota,Petrol,Manual,Dealer,7.2,134518,1.5,97.0,2,8.43
Honda,Petrol,Manual,Certified,5.0,134734,1.5,130.0,1,10.6
Hyundai,Electric,Automatic,Individual,5.3,50191,1.8,137.0,1,22.56
Nissan,Hybrid,Manual,Certified,7.1,109500,1.5,106.0,3,10.45
Nissan,Diesel,Manual,Individual,4.3,48591,1.5,200.0,1,16.34
Mercedes,Petrol,Automatic,Individual,5.0,62442,1.8,121.0,1,27.44
Hyundai,Petrol,Automatic,Individual,3.3,75568,1.9,124.0,2,12.82
Ford,Hybrid,Automatic,Dealer,2.9,73097,2.0,116.0,1,19.56
Hyundai,Petrol,Manual,Individual,8.2,114656,1.8,167.0,1,8.91
Toyota,Diesel,Manual,Dealer,3.2,75259,1.6,143.0,4,13.39
Toyota,Hybrid,Manual,Individual,6.2,100037,1.5,216.0,3,15.24
Ford,Electric,Manual,Certified,2.1,126319,1.5,,1,23.3
Honda,,Automatic,Dealer,4.9,145907,2.0,156.0,1,13.66
Toyota,Diesel,Automatic,Individual,7.2,27144,2.1,123.0,3,13.77
Hyundai,Diesel,Automatic,Dealer,5.3,79995,2.6,148.0,2,17.77
Honda,Petrol,Automatic,Certified,5.7,100466,,75.0,2,7.97
,Hybrid,Automatic,Certified,3.2,92202,1.8,130.0,2,17.96
Ford,Electric,Automatic,Certified,4.9,78604,1.8,143.0,1,24.56
Honda,Petrol,Automatic,Dealer,9.6,124851,2.2,171.0,2,13.76
Toyota,Petrol,Manual,Certified,8.6,112231,1.0,75.0,2,4.62
