age,income_k,credit_score,tenure_years,monthly_spend,satisfaction_score,target_class
27,36.12,640,4.41,1023.35,5.45,0
40,58.9,672,6.16,1067.57,6.61,0
41,28.99,706,6.09,1117.25,6.81,0
18,54.78,623,0.0,1121.35,6.88,0
47,63.65,644,7.47,1113.39,4.92,0
18,61.45,713,6.57,623.63,8.03,1
29,53.83,642,6.97,711.0,5.71,0
45,58.72,748,5.45,598.06,7.38,1
32,48.24,611,6.15,583.24,6.19,0
20,60.16,611,6.52,1235.57,9.38,0
24,60.87,813,6.82,683.1,8.67,1
45,46.5,573,7.43,652.16,9.7,1
18,64.02,678,6.85,887.71,8.98,1
46,63.92,810,11.55,735.89,6.3,1
34,57.51,678,3.82,1397.62,5.7,0
23,96.32,774,4.88,839.85,4.8,1
29,57.89,726,11.08,997.94,6.9,1
25,55.81,679,5.54,728.3,6.54,1
44,53.66,671,8.79,534.35,6.44,1
42,45.44,532,6.41,739.68,5.26,0
18,70.29,658,5.32,742.05,7.04,1
31,49.71,696,8.96,740.5,5.93,0
26,51.48,696,7.56,547.99,5.78,1
48,51.93,850,1.4,929.94,6.75,1
21,45.23,700,6.52,825.9,6.38,1
51,33.73,724,3.01,560.78,4.36,0
35,53.06,762,9.81,923.38,5.32,1
23,73.1,718,11.26,1067.69,7.3,1
28,62.95,674,11.62,1163.5,6.43,1
27,83.41,674,7.07,367.54,3.59,1
22,71.26,655,4.62,739.2,7.55,0
36,67.86,711,6.97,598.43,6.43,1
23,88.24,668,3.18,756.49,4.91,1
18,58.54,724,13.04,1205.48,5.5,1
31,60.95,609,9.58,740.01,6.75,0
18,59.83,690,6.91,795.49,3.19,0
27,83.16,789,8.99,717.6,7.13,1
26,60.04,664,4.52,1257.71,7.98,1
26,50.28,809,2.68,394.05,7.84,1
55,68.82,691,0.0,777.6,8.23,1
36,47.76,676,6.25,709.57,5.33,0
37,68.0,688,5.38,521.34,8.05,1
18,66.21,658,7.56,1142.49,6.91,0
28,57.16,541,6.04,503.32,5.25,0
37,68.49,742,7.42,798.92,7.2,1
25,37.68,833,8.43,882.68,7.15,1
44,62.44,714,1.62,734.8,8.81,1
23,53.06,718,8.61,518.46,8.3,1
32,102.93,667,4.78,862.98,5.46,0
29,62.34,761,7.55,732.4,7.01,1
37,51.05,677,9.07,1077.9,6.99,0
29,39.33,699,9.09,1013.54,6.88,0
32,79.58,570,6.39,1327.74,6.04,0
33,54.75,643,6.54,924.19,9.13,0
28,48.13,706,8.68,1029.64,5.57,0
40,65.04,744,1.5,821.03,9.0,1
37,69.75,745,3.15,1276.58,4.36,0
34,69.51,569,5.16,902.26,5.93,0
31,60.3,577,2.0,877.44,7.65,0
43,62.39,721,5.18,1018.93,4.92,0
33,63.48,628,5.02,758.11,5.4,1
32,65.05,743,6.26,790.08,7.3,0
36,66.37,566,5.83,1018.77,3.91,0
52,76.42,673,9.21,1061.09,8.16,1
22,60.85,678,7.72,1031.35,8.72,1
43,47.75,714,5.79,882.36,8.78,0
18,57.84,608,5.0,959.49,6.99,1
37,71.31,542,5.86,1111.29,5.86,0
51,33.2,692,5.91,659.33,5.96,0
40,33.29,717,13.56,900.31,6.93,1
37,73.77,751,1.63,259.49,6.69,1
29,82.8,655,3.22,1062.85,5.93,0
35,41.02,734,2.78,727.83,8.88,1
32,61.51,714,6.81,733.67,6.13,1
27,54.01,773,6.69,873.18,8.66,1
32,56.09,676,4.28,1036.2,6.65,1
37,64.58,559,8.69,1426.2,6.56,0
27,40.61,675,7.11,558.33,7.28,1
27,43.39,686,8.81,713.11,7.26,1
21,55.48,716,9.61,950.31,6.28,1
39,57.82,573,0.0,740.12,7.35,0
40,43.11,658,8.06,1083.91,7.53,0
37,71.84,741,2.13,863.08,8.98,1
45,53.74,673,6.75,1094.77,6.61,0
36,53.67,659,5.78,845.33,5.33,0
39,64.24,813,5.91,1019.87,5.48,1
38,58.07,605,2.39,689.43,10.0,1
34,72.56,766,9.09,1326.23,3.68,0
30,46.0,751,2.13,526.07,4.72,1
57,39.04,664,8.25,744.29,6.54,1
30,55.35,678,1.7,587.52,5.58,1
28,60.9,677,5.95,1076.07,7.73,1
39,41.39,693,11.41,1018.71,7.6,1
38,39.18,638,13.08,632.0,5.7,1
21,62.73,650,1.14,1119.37,8.76,1
46,48.63,655,3.89,746.32,4.85,0
34,38.21,657,4.43,985.21,5.39,0
24,74.48,658,12.77,1036.87,8.86,1
47,50.52,523,5.8,846.13,4.54,0
41,77.25,687,9.22,1100.17,7.02,1
22,60.43,643,6.9,868.3,8.85,1
53,64.42,549,2.4,974.52,2.6,0
42,56.83,655,0.42,839.69,5.99,0
35,20.17,653,4.16,488.99,7.92,1
51,42.95,769,12.95,872.82,6.09,1
37,58.11,642,6.77,707.79,6.59,0
35,65.47,727,9.16,1206.3,6.78,1
28,33.15,777,1.75,599.88,6.97,1
41,59.2,636,5.02,1169.5,5.29,0
40,43.17,677,8.34,860.67,7.65,1
35,63.52,801,2.73,989.36,6.88,0
27,59.71,696,5.81,596.42,4.78,0
36,71.15,706,3.36,832.07,5.8,1
34,76.0,651,8.48,753.78,4.38,0
22,66.88,728,7.2,1362.71,6.82,0
20,72.91,677,8.05,748.34,7.24,1
41,54.74,552,8.61,1153.74,6.82,0
18,102.35,655,5.32,1156.82,7.32,1
37,41.72,597,9.01,1150.64,6.7,0
30,52.08,688,4.23,769.35,7.64,1
48,73.52,616,7.88,1297.08,6.31,0
30,71.29,713,0.09,1342.68,7.55,1
42,67.31,683,3.76,980.77,4.57,0
31,70.13,593,12.95,797.61,4.4,1
36,28.75,646,7.83,710.66,6.63,0
42,83.84,723,7.83,1003.79,7.53,1
30,56.94,760,3.53,914.28,6.08,0
45,78.69,617,2.72,940.2,7.46,0
25,29.5,603,5.21,603.47,6.96,0
38,63.85,817,5.8,907.25,3.43,1
44,51.55,679,11.74,1151.65,9.99,1
42,68.58,686,9.06,1079.34,4.61,0
54,64.76,628,6.33,808.89,5.08,0
27,65.49,695,6.2,876.01,8.22,1
21,44.12,800,8.27,576.97,6.53,1
25,59.15,698,2.04,753.64,5.35,0
42,57.3,755,0.24,825.19,5.8,0
40,67.43,682,8.23,1039.35,5.18,1
36,74.84,608,6.22,744.6,5.3,0
24,62.26,632,2.06,672.08,7.68,1
43,40.86,602,0.0,1066.69,5.75,0
23,61.61,695,8.68,807.03,4.9,0
47,99.17,766,4.44,715.43,5.36,1
64,84.69,691,7.2,1078.73,6.27,0
39,20.0,658,5.21,1000.93,5.38,0
41,60.95,625,5.9,854.36,6.04,0
30,73.98,705,4.22,822.72,7.02,1
18,57.27,593,5.77,983.5,5.78,0
29,53.1,601,7.73,1018.53,5.21,0
24,56.0,743,5.17,945.96,5.45,0
21,68.28,661,5.0,926.54,8.59,1
52,42.77,659,7.82,766.54,9.76,1
38,77.83,668,8.02,779.73,6.57,1
39,59.16,731,2.59,862.2,7.59,0
32,45.97,692,5.91,688.56,5.09,0
33,76.87,628,4.43,662.83,5.61,0
45,36.82,631,6.04,880.26,7.17,0
35,51.67,666,10.3,1117.68,2.95,0
40,51.42,701,7.08,443.96,7.66,0
33,92.16,678,12.49,813.88,5.65,1
32,49.72,671,6.66,959.95,4.88,1
21,27.68,683,5.5,1135.91,7.08,0
18,51.27,677,5.94,1295.98,8.66,1
32,66.83,625,6.43,843.28,6.03,0
36,71.76,757,6.97,1333.96,6.94,1
22,94.15,646,3.02,1000.22,7.18,0
35,81.1,689,5.3,1079.13,6.86,1
36,62.82,536,3.83,665.62,5.0,0
18,46.63,665,9.09,999.75,6.84,1
26,84.36,603,0.22,1098.12,6.78,0
39,54.47,611,6.47,748.34,2.41,0
39,50.13,850,1.45,326.77,7.79,1
23,53.74,697,7.3,932.78,4.24,0
37,41.22,766,4.8,852.71,6.69,1
45,53.02,740,0.55,1195.74,8.78,0
43,56.5,749,8.83,781.57,6.13,1
34,70.96,666,0.0,744.9,4.93,0
30,54.18,792,5.91,642.29,7.34,1
29,40.99,739,8.07,761.38,8.6,1
40,35.94,683,10.13,1486.73,4.84,0
37,63.14,698,1.17,550.94,2.96,1
41,61.09,670,4.45,606.24,8.27,1
36,51.69,684,9.25,888.05,7.78,1
43,52.99,677,9.45,1334.4,7.08,0
36,65.83,707,9.84,1063.14,3.8,0
43,80.86,802,13.68,1241.51,7.4,1
44,48.3,596,4.47,815.29,8.05,0
27,61.33,760,7.12,594.18,9.73,1
18,74.37,654,4.96,801.17,6.08,1
50,48.36,769,0.07,872.57,6.74,1
38,59.77,657,5.73,902.41,3.27,0
18,59.43,709,0.02,852.92,7.95,1
28,40.33,669,4.44,1029.96,7.92,1
43,62.53,559,1.6,743.38,7.11,0
32,60.47,802,7.32,696.03,8.28,1
30,68.33,614,3.66,634.98,5.33,1
49,42.2,686,0.64,945.11,6.17,0
25,60.15,606,8.6,923.27,6.23,0
27,80.73,586,4.19,1140.11,8.15,0
37,91.16,666,4.7,1240.34,8.18,1
39,79.2,638,3.07,634.38,6.98,1
40,42.34,598,9.45,905.17,6.9,0
44,66.77,678,6.81,854.82,7.33,0
37,52.75,576,4.16,561.92,6.0,0
40,64.26,689,0.26,783.8,8.54,0
32,48.42,671,13.53,1244.66,5.82,0
36,34.3,506,11.94,760.81,7.14,0
36,54.83,643,10.33,724.22,5.61,0
37,70.84,713,3.89,888.55,7.92,1
43,64.32,606,4.5,1100.57,6.35,0
41,66.04,716,7.2,832.97,9.6,1
35,63.25,710,3.32,928.09,6.31,0
27,66.07,609,3.03,397.39,7.91,1
36,67.94,679,10.38,1025.91,5.55,0
35,55.88,738,5.83,948.65,6.04,1
37,61.24,619,2.64,1094.63,6.44,0
57,86.15,666,8.86,489.12,7.03,1
30,62.13,761,4.28,833.45,5.38,1
39,60.64,620,0.06,1112.12,5.64,0
46,61.54,712,2.6,777.47,6.63,1
36,56.73,604,4.45,911.23,7.1,0
58,53.47,669,6.66,809.88,6.45,1
31,63.13,711,6.52,815.27,6.23,1
38,52.41,512,9.68,1156.77,4.51,0
27,57.82,643,5.29,586.85,7.25,1
31,48.14,710,4.6,888.94,7.76,1
37,61.62,696,9.74,955.39,7.94,1
43,68.76,643,8.94,1106.38,6.73,0
38,56.82,603,5.36,873.17,5.59,0
48,29.87,724,6.88,1113.15,6.02,0
34,68.86,657,4.57,887.98,6.73,0
32,61.8,718,2.51,926.3,6.47,1
62,45.1,707,12.59,917.89,5.23,0
39,71.6,649,4.37,1044.16,3.98,0
28,39.02,755,6.88,1019.18,5.67,0
28,75.68,638,1.45,655.13,6.08,0
26,59.14,763,8.21,947.74,6.96,1
44,25.97,772,2.38,1018.95,5.89,0
31,62.67,754,11.03,1221.58,6.12,1
36,53.91,667,11.39,678.1,6.67,0
34,51.65,850,7.7,1018.46,8.85,1
42,48.93,691,6.34,823.47,6.25,0
27,58.09,697,5.44,942.21,4.18,0
24,52.72,678,5.86,663.83,5.47,1
37,32.15,601,7.23,897.06,9.21,0
41,79.08,771,6.27,970.16,8.65,1
38,56.33,640,8.95,686.57,7.91,1
27,49.02,744,3.25,1218.73,7.55,0
42,43.07,761,10.58,560.27,7.57,1
28,71.56,722,4.73,1018.26,6.14,1
30,40.52,632,3.76,365.74,7.8,0
26,62.01,656,7.09,843.9,7.86,1
48,51.25,500,7.28,1005.52,7.77,0
41,52.12,672,0.79,1056.78,5.6,0
41,43.45,736,4.56,876.82,6.01,1
47,50.7,663,0.0,846.84,5.54,0
63,60.13,639,3.97,1024.84,8.0,0
18,63.53,659,4.1,1109.15,6.95,0
28,48.22,765,6.89,1203.51,7.09,0
29,58.64,676,3.64,616.02,7.36,1
26,73.33,810,4.35,855.86,4.38,1
24,35.06,640,9.91,417.42,7.82,1
32,59.91,695,12.19,599.15,5.69,1
23,45.74,650,3.24,745.09,5.83,0
38,44.21,825,9.06,1090.3,5.25,1
36,63.92,693,7.16,794.2,6.62,1
40,51.82,829,0.78,836.43,6.4,0
40,41.75,651,3.63,966.01,4.41,0
41,79.86,787,0.0,752.48,3.82,0
31,73.8,688,6.97,461.17,6.2,1
56,31.02,739,2.77,735.9,7.72,1
37,37.88,595,6.4,873.44,7.58,0
18,68.9,704,13.71,1003.06,8.0,1
25,55.73,605,10.78,854.59,6.2,1
18,82.51,698,3.7,999.4,5.97,0
35,69.25,574,2.97,1103.44,6.33,0
34,64.49,673,9.88,1146.52,7.71,1
30,44.67,757,2.99,937.91,8.92,1
55,67.37,718,8.97,649.82,5.81,1
40,40.86,594,14.21,626.1,6.1,1
42,79.58,547,8.03,646.59,6.55,0
26,66.33,715,9.55,663.52,6.1,1
25,47.63,791,9.2,921.87,5.63,1
35,72.07,613,4.33,1315.24,6.31,0
37,93.62,827,6.87,946.62,5.31,1
18,56.74,680,3.13,881.52,7.59,1
33,68.26,543,9.87,1111.62,8.71,0
35,53.52,571,2.74,717.72,6.07,0
33,61.28,734,8.1,1129.25,8.99,1
27,37.39,689,9.4,1112.94,6.34,0
30,59.99,784,4.53,912.98,5.45,1
33,60.65,596,3.84,1360.62,7.53,0
36,86.98,688,5.49,1145.35,5.11,0
41,33.07,680,3.32,909.99,7.44,1
46,55.79,670,6.47,868.4,6.88,0
32,79.32,653,3.25,804.98,5.89,0
30,56.37,655,3.47,871.24,5.74,0
39,57.43,692,7.64,877.6,5.19,0
41,47.5,701,7.85,829.71,8.05,1
31,46.01,698,5.12,852.93,6.17,1
43,32.61,764,1.06,637.65,6.97,0
45,50.56,596,9.51,775.01,6.48,1
48,45.16,553,4.65,548.6,6.18,0
53,61.77,751,12.19,991.18,6.99,1
26,48.18,614,5.6,917.61,7.27,0
35,52.81,653,6.41,873.03,6.71,0
35,53.22,637,4.7,1094.97,6.22,0
34,59.28,636,6.73,710.02,4.87,0
29,52.07,578,16.43,743.62,5.59,1
20,44.07,640,4.95,574.13,6.04,0
36,61.29,725,9.83,1125.06,6.52,1
27,76.01,680,6.27,1033.22,3.89,0
36,61.93,715,9.52,1192.51,7.43,1
27,50.85,645,0.2,1248.17,6.98,0
24,58.15,743,11.83,806.64,5.63,1
37,29.24,644,7.02,743.55,5.13,0
37,57.91,532,5.2,505.0,5.47,0
41,53.99,702,8.71,658.44,4.51,1
57,46.0,734,6.43,828.52,5.99,1
38,48.72,641,2.56,446.59,6.23,0
40,53.85,764,0.0,662.99,7.88,1
24,74.89,620,11.48,881.78,7.21,1
22,76.38,727,5.33,1096.56,8.37,1
51,46.08,802,4.16,742.24,6.67,1
26,52.23,683,4.39,928.16,5.13,0
25,52.61,664,10.39,1310.03,9.11,0
35,72.14,673,4.53,502.67,6.02,1
34,62.18,794,7.93,1138.89,4.18,0
26,61.39,708,5.0,983.77,6.83,0
32,68.04,830,2.24,1178.64,4.12,0
47,51.05,700,8.7,1112.72,6.37,1
27,80.46,634,9.31,754.1,5.79,1
21,59.97,639,3.96,900.4,7.29,1
44,47.16,684,5.89,578.68,7.93,1
40,56.56,537,6.29,784.95,6.01,0
29,78.48,647,7.34,906.43,5.91,1
19,53.62,648,11.91,966.79,7.64,1
28,74.24,697,5.03,1073.68,5.35,0
34,50.62,816,5.01,1248.24,6.6,1
47,48.52,684,5.47,804.18,7.31,1
25,69.89,545,3.17,1151.85,5.31,0
34,46.89,616,0.83,958.81,6.05,0
42,72.34,698,6.4,612.37,6.65,1
18,65.27,687,7.58,866.91,8.5,1
45,46.9,794,6.01,925.49,4.69,1
23,58.93,747,5.81,715.93,6.28,1
38,51.77,745,3.3,671.08,8.53,1
37,65.23,665,6.76,663.69,7.96,1
46,88.32,757,6.51,780.42,6.09,1
41,54.44,617,7.42,709.78,6.39,0
18,68.01,748,6.97,1170.69,7.19,1
27,60.37,660,7.18,360.76,7.22,1
36,60.36,579,9.96,924.48,8.57,1
33,57.52,722,7.72,1016.23,8.2,1
40,47.14,778,7.44,688.18,4.43,0
43,65.03,652,0.77,848.98,4.11,0
41,55.67,789,9.16,824.74,5.68,1
33,46.43,564,5.11,882.98,3.72,0
18,75.21,596,6.24,1045.85,8.47,1
30,61.49,670,2.18,1026.14,4.26,0
39,56.58,654,12.27,768.0,6.05,0
24,80.1,633,0.0,569.02,5.19,0
41,32.46,689,10.46,936.32,4.12,0
44,79.09,643,7.28,755.53,8.27,1
36,46.8,655,0.28,783.89,5.63,0
18,63.17,699,12.11,949.16,9.36,1
22,51.18,633,7.54,804.28,8.61,1
54,46.15,673,0.0,967.48,6.5,0
30,79.71,635,4.73,1452.83,3.36,0
18,87.84,596,7.6,1050.89,5.99,1
47,56.68,733,11.14,1195.88,9.93,1
35,65.03,800,4.77,1012.4,7.14,1
46,60.85,755,0.0,916.97,6.25,1
38,85.96,703,10.38,1015.73,5.58,1
40,28.3,635,7.49,1005.01,7.83,0
39,65.66,660,0.0,1089.82,7.05,0
42,49.09,754,7.03,913.06,6.93,1
58,24.66,520,7.35,612.17,8.2,0
45,54.59,655,5.03,577.01,8.12,1
19,87.72,731,3.52,1001.47,7.16,1
39,50.16,600,4.17,652.24,4.12,0
46,71.86,710,5.02,1051.01,5.03,0
47,77.98,706,7.06,1194.5,5.58,1
31,59.81,578,8.37,851.45,6.44,0
47,61.81,686,0.0,1166.5,8.75,0
44,34.26,637,6.77,956.97,9.58,1
61,49.26,709,7.46,905.7,7.09,0
27,73.61,727,6.51,916.03,7.33,1
30,60.91,708,4.79,717.21,4.23,0
32,65.51,685,10.26,689.1,5.87,1
30,62.0,700,10.03,538.31,5.67,0
26,92.88,598,4.9,738.72,5.55,0
18,53.54,678,5.75,1370.67,7.37,0
31,84.08,624,8.32,571.46,5.82,0
39,62.0,752,9.85,641.16,3.66,1
30,85.41,728,3.55,722.77,7.76,1
54,41.63,728,2.86,733.1,8.31,0
35,62.77,800,6.82,959.25,6.93,1
48,54.09,657,2.63,765.4,6.25,0
38,62.09,642,0.17,856.33,5.15,0
43,78.34,655,3.54,713.11,5.24,0
38,65.68,568,7.25,795.45,8.11,1
49,78.31,573,10.66,886.87,5.38,0
36,49.95,723,3.87,870.4,9.52,1
40,47.66,582,5.63,1335.77,7.92,0
39,60.24,605,6.47,893.8,7.01,0
32,59.42,673,4.05,853.86,10.0,1
39,57.21,651,3.82,350.67,8.41,1
57,45.62,742,7.0,952.78,5.85,0
32,77.98,684,2.41,465.48,4.96,1
39,54.56,624,3.7,1021.37,5.86,0
48,81.39,748,5.39,931.33,6.35,1
46,60.19,731,6.97,1075.54,5.36,1
35,69.73,581,1.45,760.43,4.81,0
18,68.37,698,5.61,905.94,6.85,1
40,47.64,630,2.13,1048.67,7.83,0
18,65.51,628,3.95,695.5,9.29,1
50,88.92,811,8.37,1034.21,6.62,1
37,63.77,689,5.78,1024.14,7.4,1
45,73.52,665,11.01,870.33,3.72,0
26,70.4,686,5.78,1247.28,7.79,0
19,64.61,741,8.9,1013.42,4.99,0
38,62.8,631,8.38,531.69,6.96,1
35,68.21,643,5.96,1117.51,6.44,0
30,71.45,726,2.05,755.22,6.14,1
36,39.72,574,5.68,1075.49,4.27,0
63,63.71,749,4.4,965.02,5.36,0
43,57.24,568,4.29,318.82,5.07,0
45,54.13,663,6.47,1033.07,5.61,0
43,79.44,568,1.65,851.24,8.27,0
50,49.0,606,3.38,798.92,5.97,0
33,39.08,771,2.96,807.12,5.49,0
18,71.94,753,5.24,1073.55,7.47,1
33,38.69,761,3.7,697.32,6.99,1
43,31.08,579,3.89,1144.92,9.55,0
25,73.62,606,6.41,565.68,8.02,0
33,62.38,704,4.66,965.05,3.52,0
28,67.09,730,6.01,1069.94,7.71,1
50,53.36,624,2.65,1064.54,7.53,0
42,39.23,639,3.51,940.5,8.99,0
42,42.21,601,12.12,854.5,6.2,0
41,55.92,796,3.91,779.0,8.14,1
35,40.91,647,0.0,631.07,5.97,0
37,64.61,682,7.03,749.15,6.94,1
23,53.06,686,3.88,688.5,4.92,0
18,62.78,757,6.73,652.43,4.44,1
37,62.33,613,5.73,1296.82,7.8,0
38,65.8,762,7.65,521.73,6.51,1
47,67.49,590,5.7,1147.61,4.58,0
51,54.84,762,5.32,627.97,7.72,1
51,62.76,560,9.44,675.13,2.4,0
25,63.54,673,0.0,671.54,5.29,0
31,23.57,794,2.02,655.7,4.01,0
40,69.7,729,3.52,1103.03,8.3,1
60,62.25,709,0.92,1029.44,5.85,0
50,68.46,607,4.56,848.83,6.62,1
46,40.7,629,4.27,1495.62,6.96,0
31,55.26,774,8.92,896.32,7.71,1
26,43.63,713,5.74,913.17,7.54,0
43,71.17,742,5.36,749.16,7.7,1
24,38.92,685,4.86,722.96,6.1,0
33,46.07,660,2.84,782.72,7.78,0
34,68.01,734,8.67,1087.38,5.52,1
51,50.56,698,9.63,1025.65,5.9,0
31,46.07,668,2.36,1183.93,4.19,0
18,73.6,581,10.86,742.24,9.01,1
40,74.22,747,3.99,1029.69,5.01,1
28,70.83,711,3.74,967.21,8.62,1
35,72.73,638,7.42,995.52,7.31,0
34,56.53,763,7.69,709.97,6.8,1
32,56.93,697,5.79,671.48,7.05,1
43,50.28,698,4.96,1018.61,4.9,0
20,62.52,742,9.52,1092.03,8.91,1
30,52.08,727,4.13,763.97,5.96,1
42,53.5,701,5.79,1033.99,8.02,1
29,69.0,667,11.08,1163.86,5.69,0
19,77.77,819,1.99,820.4,4.35,1
42,65.97,629,4.62,583.46,9.48,1
46,86.91,732,9.08,610.97,5.59,1
35,49.42,674,7.58,751.17,7.19,1
18,32.43,712,8.68,801.88,1.96,0
42,70.72,766,2.03,892.05,6.39,1
18,48.42,658,6.96,896.52,7.41,1
38,55.89,722,5.14,840.08,6.71,1
26,33.45,699,12.82,1049.43,6.35,0
23,46.51,635,8.43,732.63,6.18,1
31,37.47,768,5.93,1178.23,7.81,1
33,53.49,730,6.86,1106.81,4.56,1
29,54.08,650,6.16,1090.7,6.14,1
41,61.35,757,8.1,754.91,8.65,1
31,78.6,622,3.43,874.39,4.28,1
45,70.15,678,10.1,1059.03,6.34,0
38,35.67,650,2.03,856.02,4.85,0
28,69.12,733,6.62,746.19,6.95,1
26,61.68,646,3.53,737.36,6.55,1
19,58.53,733,6.13,748.08,5.08,1
38,59.66,722,8.96,644.59,6.54,0
31,63.07,654,0.86,1531.48,6.6,0
18,49.62,808,5.49,470.49,5.59,1
30,57.26,628,1.68,684.23,5.88,0
26,77.76,581,5.16,1031.13,5.53,0
51,49.44,740,1.67,750.09,3.08,0
18,44.55,530,6.49,822.62,7.89,0
21,59.07,784,4.72,986.94,8.29,1
46,43.04,687,8.24,1127.12,3.87,0
49,34.16,580,9.69,839.85,8.31,0
28,54.83,614,6.03,1102.85,7.1,0
29,81.73,566,8.68,526.57,4.85,1
41,59.42,707,10.15,766.69,6.19,1
18,62.68,587,3.23,1008.86,5.44,0
18,28.05,715,10.3,1334.1,7.88,1
32,66.57,659,5.89,687.61,5.12,0
50,61.4,647,3.06,648.88,9.68,1
31,50.03,716,6.9,975.11,8.24,1
36,62.7,724,5.78,911.7,4.66,1
46,62.55,760,1.78,741.94,8.96,1
56,44.11,636,2.7,632.33,7.59,0
29,64.98,678,10.91,786.94,6.27,1
35,77.96,636,6.84,1014.67,7.51,0
53,56.58,691,10.45,826.7,7.89,1
20,46.99,626,4.75,1157.66,5.36,0
45,57.34,650,3.6,870.08,7.75,0
25,72.82,651,0.95,1032.33,5.85,0
36,41.61,701,8.9,961.26,7.72,1
33,68.68,680,7.23,811.19,6.3,1
25,49.83,715,4.78,1083.29,4.99,0
25,63.63,673,3.62,632.2,7.45,1
38,51.54,639,9.38,778.21,5.93,0
45,51.49,693,5.47,808.94,6.73,1
34,82.85,616,5.5,983.94,7.11,1
36,38.86,720,4.2,1038.78,8.7,1
41,67.28,660,4.78,720.66,5.85,1
25,85.97,694,7.65,689.66,5.23,1
42,70.28,695,1.75,917.29,8.97,0
43,40.03,792,6.24,561.72,6.5,1
61,40.78,707,8.87,1121.72,5.68,0
31,48.73,685,5.75,850.76,7.04,0
30,62.37,632,9.16,642.7,5.98,1
43,63.39,736,10.02,638.35,6.1,1
43,40.92,661,8.71,968.89,10.0,0
30,46.91,573,4.39,962.94,5.02,0
31,47.83,666,5.89,730.94,4.34,0
40,57.29,693,7.04,874.95,8.34,1
27,89.77,623,4.59,651.57,5.93,0
31,46.0,672,4.49,843.15,6.98,0
36,45.35,675,4.31,1224.62,7.46,0
45,43.0,676,13.63,1368.72,3.88,0
29,69.53,766,5.19,853.41,8.21,1
18,59.38,588,9.21,995.01,5.66,0
18,46.56,822,3.39,986.31,9.35,1
22,54.56,678,11.11,521.37,5.31,1
22,48.13,721,4.86,647.03,8.85,1
33,64.44,689,6.16,390.56,9.12,1
23,100.27,559,0.5,998.8,5.77,0
28,68.26,606,9.35,1327.98,6.21,0
27,58.61,643,10.0,1134.48,6.03,0
31,50.03,750,2.44,909.79,8.78,1
48,39.85,583,9.52,878.77,6.77,0
42,71.01,620,1.99,822.48,7.3,0
35,70.19,692,7.9,1133.13,6.28,0
30,53.01,713,5.14,947.44,7.21,1
31,78.2,711,10.01,913.74,7.31,1
38,60.32,611,6.75,657.28,5.6,0
41,71.62,568,8.79,1032.24,9.16,1
26,64.44,718,9.71,867.0,6.19,1
35,57.34,780,5.13,987.33,8.04,1
18,45.68,656,5.91,1119.8,4.61,0
37,57.82,600,2.67,540.33,7.53,0
43,72.63,650,5.1,834.97,8.1,1
32,52.38,708,11.78,803.06,6.9,1
53,66.6,664,8.27,783.67,8.11,1
26,43.76,779,2.87,654.28,5.44,0
37,71.7,745,10.89,739.95,7.21,1
35,64.69,693,7.17,658.34,4.22,1
34,41.97,543,8.49,1081.48,6.72,0
34,56.64,632,7.47,983.03,5.31,0
36,73.97,642,7.26,967.78,6.4,1
43,41.11,628,0.01,476.07,8.57,0
49,43.94,693,9.32,1328.75,9.11,0
35,58.96,695,0.0,810.12,4.58,0
43,92.0,563,9.05,1283.82,8.37,0
28,49.91,736,6.3,1064.81,8.6,1
43,67.43,681,8.51,849.03,6.99,1
27,63.9,705,6.48,1349.5,8.54,1
46,51.16,732,9.13,1024.82,5.88,0
57,62.42,626,6.05,849.76,5.73,0
34,53.28,768,6.84,813.96,5.74,1
18,54.63,670,7.21,1127.03,7.57,1
30,35.08,786,11.64,781.97,6.35,1
47,59.63,617,7.8,816.72,5.43,0
41,73.49,781,2.05,768.67,5.5,0
37,60.86,617,4.31,733.76,6.5,1
45,76.36,850,7.79,747.22,5.23,1
40,68.7,613,9.78,1289.94,7.5,0
47,59.11,754,3.83,1121.67,8.29,1
44,50.58,655,12.72,951.77,7.96,0
50,52.71,730,6.53,779.55,10.0,1
39,37.94,677,7.26,778.7,7.12,1
44,55.99,604,2.24,819.34,9.04,0
32,62.19,500,9.35,1293.57,6.78,0
29,85.73,850,4.66,964.0,6.08,1
52,67.92,685,3.76,1064.46,6.68,0
37,47.03,500,5.05,943.96,6.75,0
43,38.41,701,10.15,705.16,6.31,1
36,56.9,728,7.4,922.56,4.88,1
29,72.18,630,3.33,663.32,5.03,0
35,56.69,630,4.41,1162.97,8.2,0
49,68.13,679,10.23,735.3,7.75,0
41,57.28,764,5.29,774.18,9.17,1
18,70.76,687,7.68,1078.9,5.91,0
33,36.04,782,8.42,746.37,5.77,1
53,84.06,759,0.0,851.81,4.78,0
33,43.31,664,9.79,319.71,8.08,1
18,71.91,570,3.44,829.03,5.16,0
54,55.92,664,4.92,1030.74,6.45,1
42,58.26,717,10.62,762.19,6.97,1
34,56.38,684,10.34,1023.04,4.15,0
31,63.83,724,7.48,896.45,7.67,0
46,66.86,740,8.19,1139.32,8.02,1
30,75.88,717,8.93,738.3,6.92,1
46,81.12,661,10.29,846.86,6.37,1
40,64.98,716,10.67,576.68,6.45,1
37,85.71,836,6.32,879.74,8.6,1
36,61.39,576,3.79,807.26,6.58,0
33,76.16,714,5.23,1111.23,6.47,1
